,objective_function,edges_similarity,nodes_similarity
776,76744,12,82
777,76749,28,84
778,76775,19,89
779,76780,26,83
780,76805,15,88
781,76814,28,81
782,76817,13,85
783,76818,18,87
784,76822,19,89
785,76822,10,84
786,76827,14,84
787,76835,32,87
788,76842,36,87
789,76856,16,83
790,76857,18,83
791,76858,23,84
792,76859,19,85
793,76862,11,88
794,76863,17,84
795,76883,18,84
796,76886,10,86
797,76891,30,85
798,76893,14,87
799,76915,20,86
800,76942,25,82
801,76943,16,81
802,76949,27,85
803,76949,17,84
804,76949,20,87
805,76953,25,85
806,76956,32,83
807,76959,14,85
808,76975,15,84
809,76980,24,85
810,76982,19,83
811,76982,19,84
812,76983,17,85
813,77008,17,84
814,77011,8,83
815,77015,30,87
816,77022,21,88
817,77024,16,86
818,77025,16,84
819,77025,33,85
820,77032,19,84
821,77038,16,85
822,77042,26,85
823,77052,14,83
824,77058,22,86
825,77076,17,86
826,77086,12,81
827,77088,14,83
828,77101,17,85
829,77102,7,84
830,77109,15,86
831,77112,17,84
832,77114,20,85
833,77116,26,86
834,77120,19,86
835,77124,30,85
836,77132,24,88
837,77135,20,83
838,77138,24,84
839,77150,20,84
840,77156,16,85
841,77165,29,83
842,77168,26,82
843,77181,12,84
844,77182,18,84
845,77187,18,86
846,77222,11,87
847,77254,24,87
848,77272,10,86
849,77273,28,85
850,77276,25,84
851,77276,23,82
852,77278,17,84
853,77281,22,85
854,77283,8,82
855,77288,13,85
856,77307,39,85
857,77308,29,83
858,77308,20,82
859,77313,17,81
860,77317,12,85
861,77323,16,87
862,77325,19,86
863,77334,22,87
864,77340,8,89
865,77344,30,87
866,77348,15,85
867,77348,20,84
868,77382,14,85
869,77383,19,89
870,77386,25,84
871,77388,22,83
872,77395,36,86
873,77400,14,84
874,77405,12,82
875,77418,17,85
876,77456,13,85
877,77476,13,85
878,77481,13,81
879,77488,23,87
880,77493,7,82
881,77497,19,87
882,77499,21,88
883,77507,21,83
884,77514,12,85
885,77524,20,85
886,77533,22,82
887,77549,14,87
888,77553,12,89
889,77553,13,84
890,77557,20,86
891,77562,17,82
892,77595,29,86
893,77601,12,85
894,77605,23,83
895,77605,36,87
896,77612,22,86
897,77626,19,85
898,77630,26,86
899,77634,13,81
900,77634,34,83
901,77653,18,85
902,77654,19,86
903,77676,24,86
904,77681,21,84
905,77688,24,83
906,77691,24,84
907,77700,20,87
908,77705,23,85
909,77730,9,85
910,77736,25,84
911,77750,22,83
912,77753,25,87
913,77763,27,85
914,77766,23,82
915,77781,23,87
916,77787,20,82
917,77790,25,86
918,77823,19,83
919,77824,20,86
920,77848,17,85
921,77855,15,82
922,77873,15,85
923,77884,9,82
924,77903,18,84
925,77980,13,85
926,77989,17,84
927,78005,30,85
928,78018,23,83
929,78036,23,83
930,78039,20,87
931,78045,23,85
932,78070,27,84
933,78080,9,79
934,78081,19,83
935,78109,21,86
936,78116,13,80
937,78149,19,84
938,78172,16,80
939,78173,25,82
940,78179,17,83
941,78183,14,84
942,78191,23,87
943,78201,21,85
944,78273,24,79
945,78292,24,88
946,78298,15,82
947,78308,31,83
948,78312,10,86
949,78314,11,83
950,78328,15,87
951,78335,14,81
952,78370,17,85
953,78373,16,84
954,78374,23,81
955,78408,21,85
956,78416,16,80
957,78423,17,78
958,78451,8,83
959,78471,7,88
960,78483,9,85
961,78502,22,85
962,78507,23,85
963,78512,17,85
964,78518,24,81
965,78537,15,83
966,78556,20,81
967,78568,12,86
968,78584,18,83
969,78590,11,84
970,78627,19,80
971,78661,24,82
972,78676,25,87
973,78714,18,81
974,78723,21,84
975,78737,27,85
976,78821,21,88
977,78867,18,83
978,79023,13,83
979,79029,20,81
980,79069,16,85
981,79070,25,85
982,79071,24,84
983,79095,15,83
984,79140,14,80
985,79262,11,85
986,79331,18,78
987,79369,8,82
988,79413,10,84
989,79477,16,81
990,79486,23,80
991,79532,23,81
992,79613,14,88
993,79830,17,81
994,79862,22,84
995,79956,17,82
996,80268,20,82
997,80356,20,85
998,80359,25,86
