,objective_function,edges_similarity,nodes_similarity
911,51861,17,75
912,51865,11,78
913,51889,25,77
914,51893,21,74
915,51909,16,81
916,51912,19,76
917,51952,18,76
918,51956,23,76
919,51958,10,75
920,51969,13,81
921,51979,15,79
922,51994,8,77
923,52000,5,79
924,52001,26,77
925,52012,17,80
926,52015,10,76
927,52027,12,75
928,52031,13,77
929,52033,12,75
930,52045,5,74
931,52070,17,77
932,52071,22,78
933,52075,18,74
934,52103,9,77
935,52128,7,78
936,52137,15,76
937,52174,16,79
938,52176,18,76
939,52189,16,77
940,52215,19,82
941,52225,20,80
942,52292,7,73
943,52301,11,77
944,52328,6,75
945,52329,7,76
946,52333,19,75
947,52353,17,76
948,52392,20,77
949,52412,17,79
950,52431,12,74
951,52458,14,74
952,52459,15,79
953,52483,24,80
954,52510,5,76
955,52537,4,75
956,52537,12,75
957,52578,17,78
958,52581,11,75
959,52603,9,74
960,52617,6,80
961,52640,12,72
962,52656,17,75
963,52670,14,75
964,52670,11,75
965,52707,13,77
966,52736,18,76
967,52738,13,77
968,52742,13,74
969,52772,20,77
970,52800,11,79
971,52806,17,75
972,52829,6,76
973,52830,22,77
974,52883,7,80
975,52920,10,79
976,52938,9,77
977,52962,9,72
978,52968,11,74
979,53112,18,79
980,53199,13,76
981,53293,17,77
982,53360,13,75
983,53385,14,75
984,53404,20,77
985,53435,12,76
986,53552,15,72
987,53561,10,73
988,53580,19,78
989,53595,13,76
990,53677,13,80
991,53733,19,79
992,54024,20,77
993,54044,13,75
994,54265,18,71
995,54377,13,74
996,54400,19,80
997,54404,24,73
998,56372,24,77
